drift,unbalance,type,alg,mean,std
sea_P(y_x),4,incremental,improved_OOB,64.01392742057723,0.0
sea_P(y_x),4,incremental,WEOB1,63.988546774525844,0.0
sea_P(y_x),4,incremental,OOB,64.18460768291088,1.4210854715202004e-14
sea_P(y_x),4,incremental,ESOS_ELM,60.34515626608832,0.050210289362370764
sea_P(y_x),4,incremental,improved_UOB,63.82714337195652,0.0
sea_P(y_x),4,incremental,WEOB2,62.001761451191626,1.4210854715202004e-14
sea_P(y_x),4,incremental,UOB,63.6514760206343,0.0
sea_P(y_x),4,incremental,CSMOTE,63.61304295977421,7.105427357601002e-15
sea_P(y_x),4,incremental,RebalanceStream,63.42356618296925,0.0
sea_P(y_x),4,sudden,improved_OOB,63.989133666975114,0.0
sea_P(y_x),4,sudden,WEOB1,63.94152232214269,1.4210854715202004e-14
sea_P(y_x),4,sudden,OOB,64.28308252666588,0.0
sea_P(y_x),4,sudden,ESOS_ELM,60.306060585840896,0.13729298599994574
sea_P(y_x),4,sudden,improved_UOB,63.74049345398871,0.0
sea_P(y_x),4,sudden,WEOB2,61.484281175874266,0.0
sea_P(y_x),4,sudden,UOB,63.784296119017334,0.0
sea_P(y_x),4,sudden,CSMOTE,63.81197066930391,0.0
sea_P(y_x),4,sudden,RebalanceStream,63.546736978380544,0.0
sea_P(x_y),1,sudden,improved_OOB,64.45155987458746,0.0
sea_P(x_y),1,sudden,WEOB1,64.68626334012706,0.0
sea_P(x_y),1,sudden,OOB,64.56978108288153,1.4210854715202004e-14
sea_P(x_y),1,sudden,ESOS_ELM,61.17870686868997,0.04071846024607436
sea_P(x_y),1,sudden,improved_UOB,63.537858214903814,7.105427357601002e-15
sea_P(x_y),1,sudden,WEOB2,62.71346502021631,0.0
sea_P(x_y),1,sudden,UOB,63.33519686335281,0.0
sea_P(x_y),1,sudden,CSMOTE,62.54255515856006,0.0
sea_P(x_y),1,sudden,RebalanceStream,57.508796859533426,0.0
sea_P(x_y),1,incremental,improved_OOB,64.41401701932139,0.0
sea_P(x_y),1,incremental,WEOB1,64.68236842135505,0.0
sea_P(x_y),1,incremental,OOB,64.68070462727323,0.0
sea_P(x_y),1,incremental,ESOS_ELM,61.45679708218891,0.044494596731907365
sea_P(x_y),1,incremental,improved_UOB,63.74403062156599,7.105427357601002e-15
sea_P(x_y),1,incremental,WEOB2,63.6130501428493,1.4210854715202004e-14
sea_P(x_y),1,incremental,UOB,63.72434516509005,7.105427357601002e-15
sea_P(x_y),1,incremental,CSMOTE,62.28720019815322,7.105427357601002e-15
sea_P(x_y),1,incremental,RebalanceStream,57.790783202371394,0.0
sea_P(x_y),3,incremental,improved_OOB,64.71079857294083,0.0
sea_P(x_y),3,incremental,WEOB1,64.65806689172474,0.0
sea_P(x_y),3,incremental,OOB,64.80928150092318,1.4210854715202004e-14
sea_P(x_y),3,incremental,ESOS_ELM,61.49896285151325,0.03874416758204344
sea_P(x_y),3,incremental,improved_UOB,64.30281372587513,0.0
sea_P(x_y),3,incremental,WEOB2,63.71503297744657,1.4210854715202004e-14
sea_P(x_y),3,incremental,UOB,64.01204890021805,0.0
sea_P(x_y),3,incremental,CSMOTE,64.50274140467221,1.4210854715202004e-14
sea_P(x_y),3,incremental,RebalanceStream,63.85550375169752,7.105427357601002e-15
sea_P(x_y),3,sudden,improved_OOB,64.6638295350649,0.0
sea_P(x_y),3,sudden,WEOB1,64.56850053163973,0.0
sea_P(x_y),3,sudden,OOB,64.8868622852044,0.0
sea_P(x_y),3,sudden,ESOS_ELM,60.76874872277531,0.04243463294362486
sea_P(x_y),3,sudden,improved_UOB,64.23081546300716,0.0
sea_P(x_y),3,sudden,WEOB2,64.06906775730633,0.0
sea_P(x_y),3,sudden,UOB,64.07453232982297,0.0
sea_P(x_y),3,sudden,CSMOTE,64.49828746885689,1.4210854715202004e-14
sea_P(x_y),3,sudden,RebalanceStream,62.899939323163856,0.0
sea_P(x_y),2,sudden,improved_OOB,64.606502871951,0.0
sea_P(x_y),2,sudden,WEOB1,64.61681737091695,0.0
sea_P(x_y),2,sudden,OOB,64.8856315059793,0.0
sea_P(x_y),2,sudden,ESOS_ELM,60.68363373907598,0.058987309342502944
sea_P(x_y),2,sudden,improved_UOB,64.27879645359462,0.0
sea_P(x_y),2,sudden,WEOB2,63.64490766416949,7.105427357601002e-15
sea_P(x_y),2,sudden,UOB,64.1256793023388,0.0
sea_P(x_y),2,sudden,CSMOTE,62.704027200919754,0.0
sea_P(x_y),2,sudden,RebalanceStream,62.35238653429199,0.0
sea_P(x_y),2,incremental,improved_OOB,64.72670304805885,1.4210854715202004e-14
sea_P(x_y),2,incremental,WEOB1,64.738541451972,1.4210854715202004e-14
sea_P(x_y),2,incremental,OOB,64.8543771487874,0.0
sea_P(x_y),2,incremental,ESOS_ELM,61.47018221357642,0.03707795902317385
sea_P(x_y),2,incremental,improved_UOB,64.22207887171643,0.0
sea_P(x_y),2,incremental,WEOB2,63.606985100612896,7.105427357601002e-15
sea_P(x_y),2,incremental,UOB,64.05433996049575,1.4210854715202004e-14
sea_P(x_y),2,incremental,CSMOTE,63.365476406111426,1.4210854715202004e-14
sea_P(x_y),2,incremental,RebalanceStream,63.248278358091305,0.0
sea_P(x_y),4,incremental,improved_OOB,64.50834949836045,1.4210854715202004e-14
sea_P(x_y),4,incremental,WEOB1,64.45210375327176,1.4210854715202004e-14
sea_P(x_y),4,incremental,OOB,64.61270090855828,0.0
sea_P(x_y),4,incremental,ESOS_ELM,61.35815104385284,0.0327438350290208
