drift,unbalance,type,alg,Gmean
sea_P(y_x),4,sudden,WEOB2,0.9671492829570648
sea_P(y_x),4,sudden,UOB,1.0033285756235653
sea_P(y_x),4,sudden,CSMOTE,1.0037638969927662
sea_P(y_x),4,sudden,RebalanceStream,0.9995917643909583
sea_P(x_y),1,sudden,improved_OOB,1.0243709403527919
sea_P(x_y),1,sudden,WEOB1,1.028101236565431
sea_P(x_y),1,sudden,OOB,1.0262499076042517
sea_P(x_y),1,sudden,improved_UOB,1.009848880217191
sea_P(x_y),1,sudden,WEOB2,0.9967462581285137
sea_P(x_y),1,sudden,UOB,1.0066278503512665
sea_P(x_y),1,sudden,CSMOTE,0.9940298755298451
sea_P(x_y),1,sudden,RebalanceStream,0.914025051250709
sea_P(x_y),1,incremental,improved_OOB,1.0205483991926947
sea_P(x_y),1,incremental,WEOB1,1.0248000451300132
sea_P(x_y),1,incremental,OOB,1.0247736846813817
sea_P(x_y),1,incremental,improved_UOB,1.0099334185200088
sea_P(x_y),1,incremental,WEOB2,1.0078582192999428
sea_P(x_y),1,incremental,UOB,1.0096215304865723
sea_P(x_y),1,incremental,CSMOTE,0.9868520144202901
sea_P(x_y),1,incremental,RebalanceStream,0.9156126882690965
sea_P(x_y),3,incremental,improved_OOB,1.006063554749807
sea_P(x_y),3,incremental,WEOB1,1.005243731415493
sea_P(x_y),3,incremental,OOB,1.007594676089569
sea_P(x_y),3,incremental,improved_UOB,0.9997205842630446
sea_P(x_y),3,incremental,WEOB2,0.9905823136464182
sea_P(x_y),3,incremental,UOB,0.9952000420885104
sea_P(x_y),3,incremental,CSMOTE,1.0028288746204375
sea_P(x_y),3,incremental,RebalanceStream,0.9927662231267204
sea_P(x_y),3,sudden,improved_OOB,1.0066527649509904
sea_P(x_y),3,sudden,WEOB1,1.0051687327560532
sea_P(x_y),3,sudden,OOB,1.0101248224554227
sea_P(x_y),3,sudden,improved_UOB,0.9999118277681216
sea_P(x_y),3,sudden,WEOB2,0.9973938238648742
sea_P(x_y),3,sudden,UOB,0.9974788934791037
sea_P(x_y),3,sudden,CSMOTE,1.0040756924227754
sea_P(x_y),3,sudden,RebalanceStream,0.9791934423026571
sea_P(x_y),2,sudden,improved_OOB,1.0110272132866474
sea_P(x_y),2,sudden,WEOB1,1.0111886248889232
sea_P(x_y),2,sudden,OOB,1.0153952974959024
sea_P(x_y),2,sudden,improved_UOB,1.0058989352929653
sea_P(x_y),2,sudden,WEOB2,0.9959792091382103
sea_P(x_y),2,sudden,UOB,1.003502804874834
sea_P(x_y),2,sudden,CSMOTE,0.9812553700429322
sea_P(x_y),2,sudden,RebalanceStream,0.9757525449795859
sea_P(x_y),2,incremental,improved_OOB,1.0097439167947173
sea_P(x_y),2,incremental,WEOB1,1.0099285972399268
sea_P(x_y),2,incremental,OOB,1.0117356472625456
sea_P(x_y),2,incremental,improved_UOB,1.0018717223473812
sea_P(x_y),2,incremental,WEOB2,0.992276189678755
sea_P(x_y),2,incremental,UOB,0.9992549762868088
sea_P(x_y),2,incremental,CSMOTE,0.9885086266229814
sea_P(x_y),2,incremental,RebalanceStream,0.9866803237668841
sea_P(x_y),4,incremental,improved_OOB,1.0047147782349375
sea_P(x_y),4,incremental,WEOB1,1.0038387531662
sea_P(x_y),4,incremental,OOB,1.006340046975662
sea_P(x_y),4,incremental,improved_UOB,1.0012469395165078
sea_P(x_y),4,incremental,WEOB2,0.9861783363989437
sea_P(x_y),4,incremental,UOB,0.992775129993956
sea_P(x_y),4,incremental,CSMOTE,1.0040095904737094
sea_P(x_y),4,incremental,RebalanceStream,1.0008964252400836
sea_P(x_y),4,sudden,improved_OOB,1.0030193844357813
sea_P(x_y),4,sudden,WEOB1,1.0022713241284429
sea_P(x_y),4,sudden,OOB,1.00825920902864
sea_P(x_y),4,sudden,improved_UOB,0.9989751311647698
sea_P(x_y),4,sudden,WEOB2,0.9950404817345786
sea_P(x_y),4,sudden,UOB,0.9941145931023926
sea_P(x_y),4,sudden,CSMOTE,1.0022629912426226
sea_P(x_y),4,sudden,RebalanceStream,0.9960568851627734
sine_P(y),4,incremental,improved_OOB,1.0011013221304275
sine_P(y),4,incremental,WEOB1,1.0010159524331155
sine_P(y),4,incremental,OOB,1.0003904784035078
sine_P(y),4,incremental,improved_UOB,1.0001454041589672
sine_P(y),4,incremental,WEOB2,0.9999415892461198
sine_P(y),4,incremental,UOB,1.0003904784035078
sine_P(y),4,incremental,CSMOTE,0.9986067889451077
sine_P(y),4,incremental,RebalanceStream,0.9984079862792479
sine_P(y),4,sudden,improved_OOB,1.001005973772596
sine_P(y),4,sudden,WEOB1,1.0009980950249602
sine_P(y),4,sudden,OOB,1.0003835017062865
sine_P(y),4,sudden,improved_UOB,1.0001547652622473
sine_P(y),4,sudden,WEOB2,0.9998309933964734
sine_P(y),4,sudden,UOB,1.0003835017062865
sine_P(y),4,sudden,CSMOTE,0.9987071942024016
sine_P(y),4,sudden,RebalanceStream,0.9985359749287483
sine_P(y),3,sudden,improved_OOB,1.0030125312788996
sine_P(y),3,sudden,WEOB1,1.0027009589352325
sine_P(y),3,sudden,OOB,1.0013770000393278
sine_P(y),3,sudden,improved_UOB,1.0007589152688763
sine_P(y),3,sudden,WEOB2,1.000018028577335
sine_P(y),3,sudden,UOB,1.0013770000393278
sine_P(y),3,sudden,CSMOTE,0.9988720989813318
sine_P(y),3,sudden,RebalanceStream,0.9918834668796686
sine_P(y),3,incremental,improved_OOB,1.0016933276796312
sine_P(y),3,incremental,WEOB1,1.0014884669037751
sine_P(y),3,incremental,OOB,1.0002726817619425
sine_P(y),3,incremental,improved_UOB,0.9995907586404486
sine_P(y),3,incremental,WEOB2,0.9988319454536442
sine_P(y),3,incremental,UOB,1.0002726817619425
sine_P(y),3,incremental,CSMOTE,0.9999752569732678
sine_P(y),3,incremental,RebalanceStream,0.9978748808253484
sine_P(y),1,sudden,improved_OOB,1.008825600121584
sine_P(y),1,sudden,WEOB1,1.0092670037270752
sine_P(y),1,sudden,OOB,1.0083377955600092
sine_P(y),1,sudden,improved_UOB,1.0037405937305572
sine_P(y),1,sudden,WEOB2,1.004385191769439
sine_P(y),1,sudden,UOB,1.002347965820634
sine_P(y),1,sudden,CSMOTE,0.9887553348787789
sine_P(y),1,sudden,RebalanceStream,0.9743405143919227
sine_P(y),1,incremental,improved_OOB,1.0069523177131157
sine_P(y),1,incremental,WEOB1,1.0073733222702055
sine_P(y),1,incremental,OOB,1.0063233192445105
sine_P(y),1,incremental,improved_UOB,1.0024905890177453
sine_P(y),1,incremental,WEOB2,1.0026816588544518
sine_P(y),1,incremental,UOB,1.0018135708353495
sine_P(y),1,incremental,CSMOTE,0.9900864124634887
sine_P(y),1,incremental,RebalanceStream,0.9822788096011322
sine_P(y),2,incremental,improved_OOB,1.0047916202596494
sine_P(y),2,incremental,WEOB1,1.0044812911632743
sine_P(y),2,incremental,OOB,1.00505287379121
sine_P(y),2,incremental,improved_UOB,1.0014276056789102
sine_P(y),2,incremental,WEOB2,1.0002533476949962
sine_P(y),2,incremental,UOB,1.0008908970507002
sine_P(y),2,incremental,CSMOTE,0.996709123457776
sine_P(y),2,incremental,RebalanceStream,0.9863932409034848
sine_P(y),2,sudden,improved_OOB,1.0052323517943713
sine_P(y),2,sudden,WEOB1,1.005047646796687
sine_P(y),2,sudden,OOB,1.005610455107462
sine_P(y),2,sudden,improved_UOB,1.0019869327649762
sine_P(y),2,sudden,WEOB2,1.0007042033840632
sine_P(y),2,sudden,UOB,1.0014537312443503
sine_P(y),2,sudden,CSMOTE,0.9930052165032458
sine_P(y),2,sudden,RebalanceStream,0.9869594624048441
sine_P(y_x),4,incremental,improved_OOB,1.0216121022706126
sine_P(y_x),4,incremental,WEOB1,1.0218288381477016
sine_P(y_x),4,incremental,OOB,1.020723592568141
sine_P(y_x),4,incremental,improved_UOB,1.0202133131252276
sine_P(y_x),4,incremental,WEOB2,0.8711315068966073
sine_P(y_x),4,incremental,UOB,1.0157618064628398
sine_P(y_x),4,incremental,CSMOTE,1.0134580102651494
sine_P(y_x),4,incremental,RebalanceStream,1.015270830263721
sine_P(y_x),4,sudden,improved_OOB,1.0132737876689295
sine_P(y_x),4,sudden,WEOB1,1.013139983794552
sine_P(y_x),4,sudden,OOB,1.0107487278139142
sine_P(y_x),4,sudden,improved_UOB,1.0096435146470688
sine_P(y_x),4,sudden,WEOB2,0.9285098196835586
sine_P(y_x),4,sudden,UOB,1.0107487278139142
sine_P(y_x),4,sudden,CSMOTE,1.0033509948915067
