instances,drift,unbalance,type,alg,KappaT
30000,sea_P(y),1,incremental,WEOB1,97.22244542654346
35000,sea_P(y),1,incremental,WEOB1,97.44059235449431
40000,sea_P(y),1,incremental,WEOB1,97.66184884071063
45000,sea_P(y),1,incremental,WEOB1,97.80673616680032
50000,sea_P(y),1,incremental,WEOB1,98.61578266494178
55000,sea_P(y),1,incremental,WEOB1,98.44208396560444
60000,sea_P(y),1,incremental,WEOB1,97.21649484536081
65000,sea_P(y),1,incremental,WEOB1,96.66160081053695
70000,sea_P(y),1,incremental,WEOB1,96.94055944055944
75000,sea_P(y),1,incremental,WEOB1,97.04508419337319
80000,sea_P(y),1,incremental,WEOB1,96.95127304653205
85000,sea_P(y),1,incremental,WEOB1,96.89948263118998
90000,sea_P(y),1,incremental,WEOB1,97.01259842519684
95000,sea_P(y),1,incremental,WEOB1,97.1068493150685
100000,sea_P(y),1,incremental,WEOB1,97.13657463962862
5000,sea_P(y),1,incremental,OOB,93.47774244833069
10000,sea_P(y),1,incremental,OOB,95.28560095200316
15000,sea_P(y),1,incremental,OOB,96.1776061776062
20000,sea_P(y),1,incremental,OOB,96.69041645760163
25000,sea_P(y),1,incremental,OOB,97.01723446893787
30000,sea_P(y),1,incremental,OOB,97.24989955805543
35000,sea_P(y),1,incremental,OOB,97.46527379175754
40000,sea_P(y),1,incremental,OOB,97.6733915487303
45000,sea_P(y),1,incremental,OOB,97.80807270783212
50000,sea_P(y),1,incremental,OOB,98.61147046140579
55000,sea_P(y),1,incremental,OOB,98.52807283763278
60000,sea_P(y),1,incremental,OOB,98.1911902530459
65000,sea_P(y),1,incremental,OOB,97.8419452887538
70000,sea_P(y),1,incremental,OOB,98.07342657342657
75000,sea_P(y),1,incremental,OOB,98.32428028245518
80000,sea_P(y),1,incremental,OOB,98.3955223880597
85000,sea_P(y),1,incremental,OOB,98.45343680709534
90000,sea_P(y),1,incremental,OOB,98.49291338582677
95000,sea_P(y),1,incremental,OOB,98.57123287671234
100000,sea_P(y),1,incremental,OOB,98.62814561446372
5000,sea_P(y),1,incremental,ESOS_ELM,-0.3179650238473859
10000,sea_P(y),1,incremental,ESOS_ELM,0.47600158667194725
15000,sea_P(y),1,incremental,ESOS_ELM,31.616296099054715
20000,sea_P(y),1,incremental,ESOS_ELM,47.42498745609633
25000,sea_P(y),1,incremental,ESOS_ELM,56.989979959919836
30000,sea_P(y),1,incremental,ESOS_ELM,63.30052229811169
35000,sea_P(y),1,incremental,ESOS_ELM,67.92101940075767
40000,sea_P(y),1,incremental,ESOS_ELM,71.41021780588176
45000,sea_P(y),1,incremental,ESOS_ELM,74.14238617125545
50000,sea_P(y),1,incremental,ESOS_ELM,94.64424320827945
55000,sea_P(y),1,incremental,ESOS_ELM,93.12594840667677
60000,sea_P(y),1,incremental,ESOS_ELM,84.82661668228677
65000,sea_P(y),1,incremental,ESOS_ELM,84.80243161094226
70000,sea_P(y),1,incremental,ESOS_ELM,84.8951048951049
75000,sea_P(y),1,incremental,ESOS_ELM,84.55187398153177
80000,sea_P(y),1,incremental,ESOS_ELM,84.26251097453905
85000,sea_P(y),1,incremental,ESOS_ELM,84.23872875092388
90000,sea_P(y),1,incremental,ESOS_ELM,84.75748031496065
95000,sea_P(y),1,incremental,ESOS_ELM,84.8904109589041
100000,sea_P(y),1,incremental,ESOS_ELM,84.56144637185437
5000,sea_P(y),1,incremental,improved_UOB,92.66693163751987
10000,sea_P(y),1,incremental,improved_UOB,94.49821499404996
15000,sea_P(y),1,incremental,improved_UOB,95.51724137931036
20000,sea_P(y),1,incremental,improved_UOB,96.1404917210236
25000,sea_P(y),1,incremental,improved_UOB,96.51382765531062
30000,sea_P(y),1,incremental,improved_UOB,96.76242132047675
35000,sea_P(y),1,incremental,improved_UOB,97.00665824819194
40000,sea_P(y),1,incremental,improved_UOB,97.25534477566998
45000,sea_P(y),1,incremental,improved_UOB,97.4195847812528
50000,sea_P(y),1,incremental,improved_UOB,98.4432945235015
55000,sea_P(y),1,incremental,improved_UOB,98.14365199797672
60000,sea_P(y),1,incremental,improved_UOB,96.27928772258669
65000,sea_P(y),1,incremental,improved_UOB,95.45592705167172
70000,sea_P(y),1,incremental,improved_UOB,95.49650349650348
75000,sea_P(y),1,incremental,improved_UOB,95.47800108636612
80000,sea_P(y),1,incremental,improved_UOB,95.25241439859526
85000,sea_P(y),1,incremental,improved_UOB,95.11271249076127
90000,sea_P(y),1,incremental,improved_UOB,95.31181102362206
95000,sea_P(y),1,incremental,improved_UOB,95.40547945205479
100000,sea_P(y),1,incremental,improved_UOB,95.39824089909601
