instances,drift,unbalance,type,alg,Gmean
55000,sea_P(y),1,sudden,CSMOTE,70.46990079871924
60000,sea_P(y),1,sudden,CSMOTE,70.45968377038788
65000,sea_P(y),1,sudden,CSMOTE,70.45613630915805
70000,sea_P(y),1,sudden,CSMOTE,70.47930363181332
75000,sea_P(y),1,sudden,CSMOTE,70.50533733038449
80000,sea_P(y),1,sudden,CSMOTE,70.48416738725597
85000,sea_P(y),1,sudden,CSMOTE,70.47855276455657
90000,sea_P(y),1,sudden,CSMOTE,70.47788303720849
95000,sea_P(y),1,sudden,CSMOTE,70.47443610689017
100000,sea_P(y),1,sudden,CSMOTE,70.47941566176425
5000,sea_P(y),1,sudden,RebalanceStream,69.47256152191234
10000,sea_P(y),1,sudden,RebalanceStream,69.78806574227859
15000,sea_P(y),1,sudden,RebalanceStream,69.92382643449989
20000,sea_P(y),1,sudden,RebalanceStream,70.00423573362744
25000,sea_P(y),1,sudden,RebalanceStream,70.05679804714943
30000,sea_P(y),1,sudden,RebalanceStream,70.09220211032687
35000,sea_P(y),1,sudden,RebalanceStream,70.13253462701402
40000,sea_P(y),1,sudden,RebalanceStream,70.16505256923392
45000,sea_P(y),1,sudden,RebalanceStream,70.18745139778663
50000,sea_P(y),1,sudden,RebalanceStream,70.20573587786568
55000,sea_P(y),1,sudden,RebalanceStream,70.41442526333559
60000,sea_P(y),1,sudden,RebalanceStream,70.3917636896131
65000,sea_P(y),1,sudden,RebalanceStream,70.37816587289477
70000,sea_P(y),1,sudden,RebalanceStream,70.40488098852667
75000,sea_P(y),1,sudden,RebalanceStream,70.41404327305716
80000,sea_P(y),1,sudden,RebalanceStream,70.39176552084696
85000,sea_P(y),1,sudden,RebalanceStream,70.3963333778623
90000,sea_P(y),1,sudden,RebalanceStream,70.3931875714219
95000,sea_P(y),1,sudden,RebalanceStream,70.38472973587066
100000,sea_P(y),1,sudden,RebalanceStream,70.38819365392149
5000,sea_P(y),1,incremental,improved_OOB,69.53657251966123
10000,sea_P(y),1,incremental,improved_OOB,69.86978862841188
15000,sea_P(y),1,incremental,improved_OOB,70.04221120680387
20000,sea_P(y),1,incremental,improved_OOB,70.13969591660411
25000,sea_P(y),1,incremental,improved_OOB,70.19961425562602
30000,sea_P(y),1,incremental,improved_OOB,70.24504261837494
35000,sea_P(y),1,incremental,improved_OOB,70.28234174170748
40000,sea_P(y),1,incremental,improved_OOB,70.31698501025656
45000,sea_P(y),1,incremental,improved_OOB,70.34280084847964
50000,sea_P(y),1,incremental,improved_OOB,70.53759929612549
55000,sea_P(y),1,incremental,improved_OOB,70.56129113872849
60000,sea_P(y),1,incremental,improved_OOB,70.6048635216399
65000,sea_P(y),1,incremental,improved_OOB,70.5862755062781
70000,sea_P(y),1,incremental,improved_OOB,70.60055730618781
75000,sea_P(y),1,incremental,improved_OOB,70.61400795815065
80000,sea_P(y),1,incremental,improved_OOB,70.60567817758144
85000,sea_P(y),1,incremental,improved_OOB,70.59750107823672
90000,sea_P(y),1,incremental,improved_OOB,70.59270977240206
95000,sea_P(y),1,incremental,improved_OOB,70.59671310637945
100000,sea_P(y),1,incremental,improved_OOB,70.5994450457708
5000,sea_P(y),1,incremental,WEOB1,69.49181743427137
10000,sea_P(y),1,incremental,WEOB1,69.82991475333111
15000,sea_P(y),1,incremental,WEOB1,70.00771347001911
20000,sea_P(y),1,incremental,WEOB1,70.11518707986734
25000,sea_P(y),1,incremental,WEOB1,70.17682872829066
30000,sea_P(y),1,incremental,WEOB1,70.22092843137439
35000,sea_P(y),1,incremental,WEOB1,70.26024068197961
40000,sea_P(y),1,incremental,WEOB1,70.29911502194231
45000,sea_P(y),1,incremental,WEOB1,70.3258940382851
50000,sea_P(y),1,incremental,WEOB1,70.52549388741669
55000,sea_P(y),1,incremental,WEOB1,70.55042633953497
60000,sea_P(y),1,incremental,WEOB1,70.58850279144414
65000,sea_P(y),1,incremental,WEOB1,70.57809186371209
70000,sea_P(y),1,incremental,WEOB1,70.59411301636776
75000,sea_P(y),1,incremental,WEOB1,70.60255995154594
80000,sea_P(y),1,incremental,WEOB1,70.59875429800857
85000,sea_P(y),1,incremental,WEOB1,70.59491233711428
90000,sea_P(y),1,incremental,WEOB1,70.59290673801905
95000,sea_P(y),1,incremental,WEOB1,70.59666108889836
100000,sea_P(y),1,incremental,WEOB1,70.59883781402391
5000,sea_P(y),1,incremental,OOB,69.53608094035101
10000,sea_P(y),1,incremental,OOB,69.86374947717846
15000,sea_P(y),1,incremental,OOB,70.03079058874245
20000,sea_P(y),1,incremental,OOB,70.12616987084499
25000,sea_P(y),1,incremental,OOB,70.18385416651168
30000,sea_P(y),1,incremental,OOB,70.22573734471638
35000,sea_P(y),1,incremental,OOB,70.26451457662985
40000,sea_P(y),1,incremental,OOB,70.30106616611221
45000,sea_P(y),1,incremental,OOB,70.32593615220208
50000,sea_P(y),1,incremental,OOB,70.52422782418869
55000,sea_P(y),1,incremental,OOB,70.55425566267576
60000,sea_P(y),1,incremental,OOB,70.61791270120663
65000,sea_P(y),1,incremental,OOB,70.56877441797046
70000,sea_P(y),1,incremental,OOB,70.57395731390473
75000,sea_P(y),1,incremental,OOB,70.58633657248728
80000,sea_P(y),1,incremental,OOB,70.57681218580547
85000,sea_P(y),1,incremental,OOB,70.5695155468962
90000,sea_P(y),1,incremental,OOB,70.56071428065601
95000,sea_P(y),1,incremental,OOB,70.55903068874863
100000,sea_P(y),1,incremental,OOB,70.55899571683688
5000,sea_P(y),1,incremental,ESOS_ELM,0.0
10000,sea_P(y),1,incremental,ESOS_ELM,0.0
15000,sea_P(y),1,incremental,ESOS_ELM,57.33639819503808
20000,sea_P(y),1,incremental,ESOS_ELM,60.71929949036026
25000,sea_P(y),1,incremental,ESOS_ELM,62.63103093058582
30000,sea_P(y),1,incremental,ESOS_ELM,63.910796193715825
35000,sea_P(y),1,incremental,ESOS_ELM,64.79532350681987
40000,sea_P(y),1,incremental,ESOS_ELM,65.45962475546573
45000,sea_P(y),1,incremental,ESOS_ELM,65.9496720364204
50000,sea_P(y),1,incremental,ESOS_ELM,69.97371126470424
55000,sea_P(y),1,incremental,ESOS_ELM,69.96950769960145
60000,sea_P(y),1,incremental,ESOS_ELM,69.97245099223531
65000,sea_P(y),1,incremental,ESOS_ELM,69.9527150559466
70000,sea_P(y),1,incremental,ESOS_ELM,69.999473509422
75000,sea_P(y),1,incremental,ESOS_ELM,69.98460273577167
80000,sea_P(y),1,incremental,ESOS_ELM,69.98448011337851
85000,sea_P(y),1,incremental,ESOS_ELM,69.98446547174628
90000,sea_P(y),1,incremental,ESOS_ELM,70.00567991802237
95000,sea_P(y),1,incremental,ESOS_ELM,70.00849235904688
100000,sea_P(y),1,incremental,ESOS_ELM,69.99299932407824
5000,sea_P(y),1,incremental,improved_UOB,69.38859557834056
10000,sea_P(y),1,incremental,improved_UOB,69.72113468951574
15000,sea_P(y),1,incremental,improved_UOB,69.91264206655363
20000,sea_P(y),1,incremental,improved_UOB,70.02857641318431
25000,sea_P(y),1,incremental,improved_UOB,70.09458675472709
30000,sea_P(y),1,incremental,improved_UOB,70.13945065865293
35000,sea_P(y),1,incremental,improved_UOB,70.18352773748376
40000,sea_P(y),1,incremental,improved_UOB,70.22725396891123
45000,sea_P(y),1,incremental,improved_UOB,70.2576385121175
50000,sea_P(y),1,incremental,improved_UOB,70.50001377902638
55000,sea_P(y),1,incremental,improved_UOB,70.51753486085238
60000,sea_P(y),1,incremental,improved_UOB,70.54565701795852
65000,sea_P(y),1,incremental,improved_UOB,70.52646699960948
70000,sea_P(y),1,incremental,improved_UOB,70.53463600269819
