drift,unbalance,type,alg,exp,gmean
sea_P(y),3,incremental,improved_OOB,9,64.60645117837393
sea_P(y),3,incremental,WEOB1,0,64.67039849404838
sea_P(y),3,incremental,WEOB1,1,64.6473510924588
sea_P(y),3,incremental,WEOB1,2,64.64228525636852
sea_P(y),3,incremental,WEOB1,3,64.66501277037767
sea_P(y),3,incremental,WEOB1,4,64.65538132916072
sea_P(y),3,incremental,WEOB1,5,64.6109152806161
sea_P(y),3,incremental,WEOB1,6,64.67359956247215
sea_P(y),3,incremental,WEOB1,7,64.62994090071315
sea_P(y),3,incremental,WEOB1,8,64.66759877169731
sea_P(y),3,incremental,WEOB1,9,64.59497578848209
sea_P(y),3,incremental,OOB,0,64.55357303617554
sea_P(y),3,incremental,OOB,1,64.53355956205777
sea_P(y),3,incremental,OOB,2,64.60769764157732
sea_P(y),3,incremental,OOB,3,64.51375632549609
sea_P(y),3,incremental,OOB,4,64.62304056680064
sea_P(y),3,incremental,OOB,5,64.48663882987266
sea_P(y),3,incremental,OOB,6,64.62630349320882
sea_P(y),3,incremental,OOB,7,64.64467833688626
sea_P(y),3,incremental,OOB,8,64.56311136806502
sea_P(y),3,incremental,OOB,9,64.57034340698871
sea_P(y),3,incremental,ESOS_ELM,0,61.089589458117906
sea_P(y),3,incremental,ESOS_ELM,1,61.1009514572949
sea_P(y),3,incremental,ESOS_ELM,2,61.15951880074522
sea_P(y),3,incremental,ESOS_ELM,3,61.17579352001163
sea_P(y),3,incremental,ESOS_ELM,4,61.1786583468932
sea_P(y),3,incremental,ESOS_ELM,5,61.15304574481934
sea_P(y),3,incremental,ESOS_ELM,6,61.154145121938505
sea_P(y),3,incremental,ESOS_ELM,7,61.13165863207162
sea_P(y),3,incremental,ESOS_ELM,8,61.09408254110932
sea_P(y),3,incremental,ESOS_ELM,9,61.17605394533181
sea_P(y),3,incremental,improved_UOB,0,64.5937074271685
sea_P(y),3,incremental,improved_UOB,1,64.55549916145159
sea_P(y),3,incremental,improved_UOB,2,64.53432157242162
sea_P(y),3,incremental,improved_UOB,3,64.57694467934733
sea_P(y),3,incremental,improved_UOB,4,64.53355423953971
sea_P(y),3,incremental,improved_UOB,5,64.52635443013729
sea_P(y),3,incremental,improved_UOB,6,64.58372603315438
sea_P(y),3,incremental,improved_UOB,7,64.49592917448545
sea_P(y),3,incremental,improved_UOB,8,64.5542256424674
sea_P(y),3,incremental,improved_UOB,9,64.51637998149474
sea_P(y),3,incremental,WEOB2,0,64.5937074271685
sea_P(y),3,incremental,WEOB2,1,64.55549916145159
sea_P(y),3,incremental,WEOB2,2,64.53432157242162
sea_P(y),3,incremental,WEOB2,3,64.57694467934733
sea_P(y),3,incremental,WEOB2,4,64.53355423953971
sea_P(y),3,incremental,WEOB2,5,64.52635443013729
sea_P(y),3,incremental,WEOB2,6,64.58372603315438
sea_P(y),3,incremental,WEOB2,7,64.49592917448545
sea_P(y),3,incremental,WEOB2,8,64.5542256424674
sea_P(y),3,incremental,WEOB2,9,64.51637998149474
sea_P(y),3,incremental,UOB,0,64.41128573136446
sea_P(y),3,incremental,UOB,1,64.34175788850646
sea_P(y),3,incremental,UOB,2,64.54736453473907
sea_P(y),3,incremental,UOB,3,64.31293936842012
sea_P(y),3,incremental,UOB,4,64.57961963636657
sea_P(y),3,incremental,UOB,5,64.33265969004735
sea_P(y),3,incremental,UOB,6,64.57974121157936
sea_P(y),3,incremental,UOB,7,64.61931963715598
sea_P(y),3,incremental,UOB,8,64.50577322497752
sea_P(y),3,incremental,UOB,9,64.52529715790263
sea_P(y),3,incremental,CSMOTE,0,63.49084195782808
sea_P(y),3,incremental,CSMOTE,1,63.49084195782808
sea_P(y),3,incremental,CSMOTE,2,63.49084195782808
sea_P(y),3,incremental,CSMOTE,3,63.49084195782808
sea_P(y),3,incremental,CSMOTE,4,63.49084195782808
sea_P(y),3,incremental,CSMOTE,5,63.49084195782808
sea_P(y),3,incremental,CSMOTE,6,63.49084195782808
sea_P(y),3,incremental,CSMOTE,7,63.49084195782808
sea_P(y),3,incremental,CSMOTE,8,63.49084195782808
sea_P(y),3,incremental,CSMOTE,9,63.49084195782808
sea_P(y),3,incremental,RebalanceStream,0,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,1,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,2,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,3,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,4,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,5,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,6,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,7,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,8,64.30284486836194
sea_P(y),3,incremental,RebalanceStream,9,64.30284486836194
sea_P(y),3,sudden,improved_OOB,0,64.65003819412281
sea_P(y),3,sudden,improved_OOB,1,64.68205870083573
sea_P(y),3,sudden,improved_OOB,2,64.61836688946828
sea_P(y),3,sudden,improved_OOB,3,64.6553852421803
sea_P(y),3,sudden,improved_OOB,4,64.6445950519688
sea_P(y),3,sudden,improved_OOB,5,64.57795462986799
sea_P(y),3,sudden,improved_OOB,6,64.64111473239447
sea_P(y),3,sudden,improved_OOB,7,64.63579634118844
sea_P(y),3,sudden,improved_OOB,8,64.67688333493744
sea_P(y),3,sudden,improved_OOB,9,64.59298682322074
sea_P(y),3,sudden,WEOB1,0,64.64940493489017
sea_P(y),3,sudden,WEOB1,1,64.63429460214013
sea_P(y),3,sudden,WEOB1,2,64.59673557117512
sea_P(y),3,sudden,WEOB1,3,64.65055641805932
sea_P(y),3,sudden,WEOB1,4,64.63209422892666
sea_P(y),3,sudden,WEOB1,5,64.60121764665294
sea_P(y),3,sudden,WEOB1,6,64.64998880684092
sea_P(y),3,sudden,WEOB1,7,64.61423017709788
sea_P(y),3,sudden,WEOB1,8,64.64192090995472
sea_P(y),3,sudden,WEOB1,9,64.5969160781254
sea_P(y),3,sudden,OOB,0,64.50108832388622
sea_P(y),3,sudden,OOB,1,64.47102908177821
sea_P(y),3,sudden,OOB,2,64.54198668982896
sea_P(y),3,sudden,OOB,3,64.50577003140317
sea_P(y),3,sudden,OOB,4,64.60012084069378
sea_P(y),3,sudden,OOB,5,64.46389404303024
sea_P(y),3,sudden,OOB,6,64.60227328281957
sea_P(y),3,sudden,OOB,7,64.61592017199958
sea_P(y),3,sudden,OOB,8,64.52927170667222
sea_P(y),3,sudden,OOB,9,64.56166231433569
sea_P(y),3,sudden,ESOS_ELM,0,61.01230326329454
sea_P(y),3,sudden,ESOS_ELM,1,60.97318348572708
sea_P(y),3,sudden,ESOS_ELM,2,61.090173612310295
sea_P(y),3,sudden,ESOS_ELM,3,61.07668634395661
sea_P(y),3,sudden,ESOS_ELM,4,60.99682626245614
sea_P(y),3,sudden,ESOS_ELM,5,61.03584534130973
sea_P(y),3,sudden,ESOS_ELM,6,60.99119401106113
sea_P(y),3,sudden,ESOS_ELM,7,61.08296430188152
sea_P(y),3,sudden,ESOS_ELM,8,61.01464868076946
sea_P(y),3,sudden,ESOS_ELM,9,61.027768592496805
sea_P(y),3,sudden,improved_UOB,0,64.56778074104741
sea_P(y),3,sudden,improved_UOB,1,64.53715876135638
sea_P(y),3,sudden,improved_UOB,2,64.5100725018711
sea_P(y),3,sudden,improved_UOB,3,64.58096584616676
sea_P(y),3,sudden,improved_UOB,4,64.53673096334266
sea_P(y),3,sudden,improved_UOB,5,64.51580114409724
sea_P(y),3,sudden,improved_UOB,6,64.56276193651367
sea_P(y),3,sudden,improved_UOB,7,64.4955524678954
sea_P(y),3,sudden,improved_UOB,8,64.55209393846407
sea_P(y),3,sudden,improved_UOB,9,64.5004944393617
sea_P(y),3,sudden,WEOB2,0,64.56778074104741
sea_P(y),3,sudden,WEOB2,1,64.53715876135638
sea_P(y),3,sudden,WEOB2,2,64.5100725018711
sea_P(y),3,sudden,WEOB2,3,64.58096584616676
sea_P(y),3,sudden,WEOB2,4,64.53673096334266
sea_P(y),3,sudden,WEOB2,5,64.51580114409724
sea_P(y),3,sudden,WEOB2,6,64.56276193651367
sea_P(y),3,sudden,WEOB2,7,64.4955524678954
sea_P(y),3,sudden,WEOB2,8,64.55209393846407
sea_P(y),3,sudden,WEOB2,9,64.5004944393617
sea_P(y),3,sudden,UOB,0,64.37443996651024
sea_P(y),3,sudden,UOB,1,64.3195394872684
sea_P(y),3,sudden,UOB,2,64.49244000236806
sea_P(y),3,sudden,UOB,3,64.30045297958044
sea_P(y),3,sudden,UOB,4,64.5640925543008
sea_P(y),3,sudden,UOB,5,64.28321044432775
sea_P(y),3,sudden,UOB,6,64.56461768682598
sea_P(y),3,sudden,UOB,7,64.60422301616273
sea_P(y),3,sudden,UOB,8,64.49282887916046
sea_P(y),3,sudden,UOB,9,64.49345240275751
sea_P(y),3,sudden,CSMOTE,0,64.29709589700165
sea_P(y),3,sudden,CSMOTE,1,64.29709589700165
sea_P(y),3,sudden,CSMOTE,2,64.29709589700165
sea_P(y),3,sudden,CSMOTE,3,64.29709589700165
sea_P(y),3,sudden,CSMOTE,4,64.29709589700165
sea_P(y),3,sudden,CSMOTE,5,64.29709589700165
sea_P(y),3,sudden,CSMOTE,6,64.29709589700165
sea_P(y),3,sudden,CSMOTE,7,64.29709589700165
sea_P(y),3,sudden,CSMOTE,8,64.29709589700165
sea_P(y),3,sudden,CSMOTE,9,64.29709589700165
sea_P(y),3,sudden,RebalanceStream,0,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,1,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,2,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,3,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,4,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,5,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,6,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,7,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,8,64.27959885546082
sea_P(y),3,sudden,RebalanceStream,9,64.27959885546082
sea_P(y),2,sudden,improved_OOB,0,64.64821503453496
sea_P(y),2,sudden,improved_OOB,1,64.67261963874452
sea_P(y),2,sudden,improved_OOB,2,64.60784596986012
sea_P(y),2,sudden,improved_OOB,3,64.65821469168051
sea_P(y),2,sudden,improved_OOB,4,64.6460387639938
sea_P(y),2,sudden,improved_OOB,5,64.57365936925325
sea_P(y),2,sudden,improved_OOB,6,64.64991800875713
sea_P(y),2,sudden,improved_OOB,7,64.6426526718624
sea_P(y),2,sudden,improved_OOB,8,64.67675839009225
sea_P(y),2,sudden,improved_OOB,9,64.5931118421955
