instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
45000,sea_P(y),1,sudden,WEOB2,98.71705389736475,98.72337420807546
50000,sea_P(y),1,sudden,WEOB2,98.78208832325927,98.78909091453451
55000,sea_P(y),1,sudden,WEOB2,99.48226049410262,95.52958753179028
60000,sea_P(y),1,sudden,WEOB2,99.50208716190126,95.67574107040585
65000,sea_P(y),1,sudden,WEOB2,99.47418877017432,95.41947483890883
70000,sea_P(y),1,sudden,WEOB2,99.48719203549008,95.53299129558482
75000,sea_P(y),1,sudden,WEOB2,99.50526276557483,95.6321997987529
80000,sea_P(y),1,sudden,WEOB2,99.48851560194717,95.47885587233866
85000,sea_P(y),1,sudden,WEOB2,99.4803276321751,95.39248846719312
90000,sea_P(y),1,sudden,WEOB2,99.49448755097308,95.55669588425391
95000,sea_P(y),1,sudden,WEOB2,99.50373119603657,95.67158026862027
100000,sea_P(y),1,sudden,WEOB2,99.50543922088636,95.6855248371475
5000,sea_P(y),1,sudden,UOB,96.64292577690205,96.78977691469359
10000,sea_P(y),1,sudden,UOB,97.58734316335051,97.65761409768427
15000,sea_P(y),1,sudden,UOB,98.0671227845107,98.10451013940569
20000,sea_P(y),1,sudden,UOB,98.34006343516259,98.36179229972234
25000,sea_P(y),1,sudden,UOB,98.50562892019084,98.51831632705907
30000,sea_P(y),1,sudden,UOB,98.6274578742605,98.64311857380245
35000,sea_P(y),1,sudden,UOB,98.74020006014692,98.74777675246561
40000,sea_P(y),1,sudden,UOB,98.84404711783557,98.84993753356086
45000,sea_P(y),1,sudden,UOB,98.9125192560743,98.91458962904446
50000,sea_P(y),1,sudden,UOB,98.96651130145038,98.96948423638555
55000,sea_P(y),1,sudden,UOB,99.61112112719779,96.59666892741942
60000,sea_P(y),1,sudden,UOB,99.70623760364941,97.39422086296581
65000,sea_P(y),1,sudden,UOB,99.71875264242682,97.48095468833448
70000,sea_P(y),1,sudden,UOB,99.75912099602974,97.83617493741275
75000,sea_P(y),1,sudden,UOB,99.79228082362344,98.10493226277539
80000,sea_P(y),1,sudden,UOB,99.80647885680037,98.22462914164069
85000,sea_P(y),1,sudden,UOB,99.81695687478012,98.31128803048504
90000,sea_P(y),1,sudden,UOB,99.82263665297492,98.37857261863091
95000,sea_P(y),1,sudden,UOB,99.83025959972778,98.45998815335552
100000,sea_P(y),1,sudden,UOB,99.83792372874838,98.52806524790088
5000,sea_P(y),1,sudden,CSMOTE,96.44607843137258,96.5909090909091
10000,sea_P(y),1,sudden,CSMOTE,97.28249847901034,97.35648056815943
15000,sea_P(y),1,sudden,CSMOTE,97.70663797161879,97.74634855594478
20000,sea_P(y),1,sudden,CSMOTE,97.94665324609967,97.97317436661697
25000,sea_P(y),1,sudden,CSMOTE,98.09485530546623,98.1130573248408
30000,sea_P(y),1,sudden,CSMOTE,98.12764244010468,98.1521955096364
35000,sea_P(y),1,sudden,CSMOTE,98.22780454232624,98.24071965383743
40000,sea_P(y),1,sudden,CSMOTE,98.33985354599258,98.35011464460173
45000,sea_P(y),1,sudden,CSMOTE,98.43353655823059,98.43756935505348
50000,sea_P(y),1,sudden,CSMOTE,98.49334829299569,98.49864238939467
55000,sea_P(y),1,sudden,CSMOTE,99.58783557981508,96.38318670576736
60000,sea_P(y),1,sudden,CSMOTE,99.56006014367655,96.1331375428292
65000,sea_P(y),1,sudden,CSMOTE,99.52114035413342,95.78569095066972
70000,sea_P(y),1,sudden,CSMOTE,99.5713888115781,96.21621621621624
75000,sea_P(y),1,sudden,CSMOTE,99.60200111172871,96.43781094527365
80000,sea_P(y),1,sudden,CSMOTE,99.58876704208652,96.3098404255319
85000,sea_P(y),1,sudden,CSMOTE,99.5937281787596,96.33657698912425
90000,sea_P(y),1,sudden,CSMOTE,99.60388608597758,96.46006707241337
95000,sea_P(y),1,sudden,CSMOTE,99.60308137450077,96.48296263832584
100000,sea_P(y),1,sudden,CSMOTE,99.61723339861136,96.60347551342811
5000,sea_P(y),1,sudden,RebalanceStream,96.46578140960163,96.61116552399608
10000,sea_P(y),1,sudden,RebalanceStream,97.38251642243559,97.43691241959425
15000,sea_P(y),1,sudden,RebalanceStream,97.7736051502146,97.7995758218452
20000,sea_P(y),1,sudden,RebalanceStream,98.002208613593,98.01773084968623
25000,sea_P(y),1,sudden,RebalanceStream,98.15134138027828,98.16063519929777
30000,sea_P(y),1,sudden,RebalanceStream,98.24948957391975,98.26378514756165
35000,sea_P(y),1,sudden,RebalanceStream,98.36628422648849,98.3708522354418
40000,sea_P(y),1,sudden,RebalanceStream,98.45830413454802,98.46169213864746
45000,sea_P(y),1,sudden,RebalanceStream,98.52284590950488,98.52159800804783
50000,sea_P(y),1,sudden,RebalanceStream,98.57368621096643,98.5743136509968
55000,sea_P(y),1,sudden,RebalanceStream,99.52078457595007,95.81304771178189
60000,sea_P(y),1,sudden,RebalanceStream,99.54907309469466,96.02356406480115
65000,sea_P(y),1,sudden,RebalanceStream,99.54378546789808,95.95261599210266
70000,sea_P(y),1,sudden,RebalanceStream,99.58838580487262,96.34025717111771
75000,sea_P(y),1,sudden,RebalanceStream,99.62010974607335,96.5710848205334
80000,sea_P(y),1,sudden,RebalanceStream,99.6355159207386,96.68963199462277
85000,sea_P(y),1,sudden,RebalanceStream,99.65289334791497,96.82930360503836
90000,sea_P(y),1,sudden,RebalanceStream,99.66270144219425,96.94608520799297
95000,sea_P(y),1,sudden,RebalanceStream,99.67281123060016,97.0578438991895
100000,sea_P(y),1,sudden,RebalanceStream,99.68668755416306,97.17830698419051
5000,sea_P(y),1,incremental,improved_OOB,96.64228466983984,96.79415332576689
10000,sea_P(y),1,incremental,improved_OOB,97.60367897913474,97.67522704980527
15000,sea_P(y),1,incremental,improved_OOB,98.0992873173479,98.13634356880532
20000,sea_P(y),1,incremental,improved_OOB,98.37856450336645,98.39930019784717
25000,sea_P(y),1,incremental,improved_OOB,98.55027581647263,98.56167811871751
30000,sea_P(y),1,incremental,improved_OOB,98.67814955358642,98.69243874284146
35000,sea_P(y),1,incremental,improved_OOB,98.7853940500053,98.79173172996711
40000,sea_P(y),1,incremental,improved_OOB,98.8841677417509,98.88782577896794
45000,sea_P(y),1,incremental,improved_OOB,98.95997363431894,98.94930486663225
50000,sea_P(y),1,incremental,improved_OOB,99.50962317901822,99.22725215806142
