learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
55000.0,2.160639,2.8964690659195184E-8,55000.0,75.32,38.232500476520734,43.133640552995395,20.077720207253872,83.02613480055021,54.7985347985348,87.37695425593515,48.38292367399741,58.258020462836825,55000.0,13024.0,53.0,27.0,27.0,2.0,0.0,0.0,1.0
60000.0,2.255485,2.9586353200591273E-8,60000.0,76.63,43.595728162013344,45.11507750117425,22.97297297297297,83.47826086956522,60.08539709649872,84.77886272257324,57.93807641633728,59.73209755627843,60000.0,25336.0,59.0,30.0,30.0,4.0,0.0,0.0,1.0
65000.0,2.354538,3.051049615566929E-8,65000.0,77.94666666666666,47.69154303812704,47.649944611489154,26.40711902113458,84.20248328557784,63.48785871964681,83.9379224983338,63.953746942406056,60.80535943499139,65000.0,36064.0,63.0,32.0,32.0,4.0,0.0,0.0,1.0
70000.0,2.446662,3.164168405657013E-8,70000.0,78.115,48.71923927609984,47.75602769157318,26.83049147442328,84.17742110400174,64.52135851503607,83.0693493150685,66.51069518716578,61.15146042864272,70000.0,47464.0,67.0,34.0,34.0,5.0,0.0,0.0,1.0
75000.0,2.53907,3.292266400117013E-8,75000.0,78.188,49.45867450566302,47.84812547819433,26.76604888530755,84.09508531427738,65.30066815144767,82.13309024612579,68.89097744360903,61.44592494416021,75000.0,53584.0,69.0,35.0,35.0,5.0,0.0,0.0,1.0
80000.0,2.641071,3.4760938938707114E-8,80000.0,78.36999999999999,50.57504025060868,48.508173305824464,27.54577936578828,84.05141691449359,66.40086988039144,81.2612869499097,71.57847733869167,61.81419017681162,80000.0,69664.0,77.0,39.0,39.0,5.0,0.0,0.0,1.0
85000.0,2.758382,3.7504923453347554E-8,85000.0,78.57142857142857,51.545576138789706,48.80546075085324,28.21592649310873,84.06560720659472,67.29461015175302,80.58655804480652,73.83732057416267,62.13370233194083,85000.0,90416.0,89.0,45.0,45.0,6.0,0.0,0.0,1.0
90000.0,2.86144,4.0252304555227364E-8,90000.0,78.7875,52.39723539300611,49.282725642558276,28.8350247420951,84.12921085610608,68.02577533255455,80.1032947462155,75.68972746331238,62.40853751882187,90000.0,103048.0,93.0,47.0,47.0,6.0,0.0,0.0,1.0
95000.0,2.96408,4.3274677940126926E-8,95000.0,78.95555555555556,53.0841591908479,49.73994268124404,29.37052505966587,84.16917418923437,68.62160371106695,79.69294080405191,77.21849366144669,62.63214719006099,95000.0,113824.0,95.0,48.0,48.0,6.0,0.0,0.0,1.0
100000.0,3.070132,4.6678025157501304E-8,100000.0,79.06800000000001,53.57756800807779,50.06679389312978,29.75367474327138,84.18459864603481,69.05747398297066,79.36123536283085,78.3772901147574,62.796999426244135,100000.0,124048.0,99.0,50.0,50.0,7.0,0.0,0.0,1.0
