drift,unbalance,type,alg,F1_0,F1_1,F1_0_std,F1_1_std
sea_P(y),4,sudden,RebalanceStream,85.53276992824632,80.52646888976638,0.0,1.4210854715202004e-14
sea_P(y_x),1,sudden,improved_OOB,91.64742096168389,54.177457855704084,0.0,0.0
sea_P(y_x),1,sudden,WEOB1,91.31816395382312,51.89273589968801,1.4210854715202004e-14,0.0
sea_P(y_x),1,sudden,OOB,91.23650137649699,53.82168769750611,0.0,0.0
sea_P(y_x),1,sudden,ESOS_ELM,90.32753314309004,38.89022071062435,0.12213821062798581,0.25245131967327783
sea_P(y_x),1,sudden,improved_UOB,87.59141271314385,41.45766057899148,1.4210854715202004e-14,7.105427357601002e-15
sea_P(y_x),1,sudden,WEOB2,88.23692401791767,40.93853228665616,0.0,7.105427357601002e-15
sea_P(y_x),1,sudden,UOB,87.46564187442004,41.31483790284393,0.0,0.0
sea_P(y_x),1,sudden,CSMOTE,90.18405671499679,43.10084877780225,0.0,0.0
sea_P(y_x),1,sudden,RebalanceStream,95.2750801450054,33.19826849293513,0.0,0.0
sea_P(y_x),1,incremental,improved_OOB,91.86526801952485,54.02643852726457,1.4210854715202004e-14,0.0
sea_P(y_x),1,incremental,WEOB1,91.53299979858886,52.05887399508865,1.4210854715202004e-14,0.0
sea_P(y_x),1,incremental,OOB,91.30707731095721,53.36874106467023,0.0,0.0
sea_P(y_x),1,incremental,ESOS_ELM,90.01224437071832,38.3903716765454,0.12446790237215538,0.26790319892927844
sea_P(y_x),1,incremental,improved_UOB,87.98672348745495,42.36441558118743,0.0,0.0
sea_P(y_x),1,incremental,WEOB2,88.19003540751245,41.644348869317,1.4210854715202004e-14,7.105427357601002e-15
sea_P(y_x),1,incremental,UOB,87.7263736141895,42.242839044601126,0.0,7.105427357601002e-15
sea_P(y_x),1,incremental,CSMOTE,90.01179063632938,42.63712161194884,1.4210854715202004e-14,0.0
sea_P(y_x),1,incremental,RebalanceStream,95.29331355138376,34.03916390851408,0.0,0.0
sea_P(y_x),3,incremental,improved_OOB,87.38654593521616,73.90142010669437,0.0,1.4210854715202004e-14
sea_P(y_x),3,incremental,WEOB1,87.03739007822841,73.40290380018033,0.0,0.0
sea_P(y_x),3,incremental,OOB,86.60544281326794,73.66269934741982,0.0,0.0
sea_P(y_x),3,incremental,ESOS_ELM,84.7010059522644,57.99015080487101,0.04644992213442758,0.08338726406964421
sea_P(y_x),3,incremental,improved_UOB,85.8230556937833,71.66216884692152,0.0,0.0
sea_P(y_x),3,incremental,WEOB2,85.6264670753212,68.20749043296328,0.0,1.4210854715202004e-14
sea_P(y_x),3,incremental,UOB,83.70739607867924,70.15189330913186,1.4210854715202004e-14,0.0
sea_P(y_x),3,incremental,CSMOTE,86.58362430162813,71.93065740234474,0.0,1.4210854715202004e-14
sea_P(y_x),3,incremental,RebalanceStream,87.07612268334974,69.53228847083304,1.4210854715202004e-14,0.0
sea_P(y_x),3,sudden,improved_OOB,87.29107828047867,73.98711680708276,1.4210854715202004e-14,0.0
sea_P(y_x),3,sudden,WEOB1,86.98477161260246,73.40113713468904,0.0,0.0
sea_P(y_x),3,sudden,OOB,86.5282655877401,73.93926598369517,0.0,1.4210854715202004e-14
sea_P(y_x),3,sudden,ESOS_ELM,84.79403516037253,57.759282303624595,0.06566636622789333,0.24868827857715298
sea_P(y_x),3,sudden,improved_UOB,85.74552894099278,71.47574042338272,0.0,0.0
sea_P(y_x),3,sudden,WEOB2,85.37642901248356,67.03459293675618,0.0,1.4210854715202004e-14
sea_P(y_x),3,sudden,UOB,83.67839944636816,69.98520927253148,0.0,0.0
sea_P(y_x),3,sudden,CSMOTE,86.69688777109717,72.3666060783571,0.0,0.0
sea_P(y_x),3,sudden,RebalanceStream,87.01908430405003,69.6256748330425,0.0,0.0
sea_P(y_x),2,sudden,improved_OOB,89.547939716363,67.80001551491941,0.0,0.0
sea_P(y_x),2,sudden,WEOB1,89.05188818901163,66.52596279985764,1.4210854715202004e-14,0.0
sea_P(y_x),2,sudden,OOB,89.13699487247445,67.47927806326211,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y_x),2,sudden,ESOS_ELM,87.87794626313118,51.611052301732265,0.08155355649791722,0.23031603843222442
sea_P(y_x),2,sudden,improved_UOB,86.79672066035144,62.14870017600796,1.4210854715202004e-14,7.105427357601002e-15
sea_P(y_x),2,sudden,WEOB2,87.1924187028525,58.85426615724215,1.4210854715202004e-14,0.0
sea_P(y_x),2,sudden,UOB,85.21451236443069,60.20951969632042,0.0,0.0
sea_P(y_x),2,sudden,CSMOTE,87.80857763638646,62.4087941866052,1.4210854715202004e-14,0.0
sea_P(y_x),2,sudden,RebalanceStream,90.84817739086591,49.69881371712363,1.4210854715202004e-14,7.105427357601002e-15
sea_P(y_x),2,incremental,improved_OOB,89.43899029210527,67.53945857688646,1.4210854715202004e-14,1.4210854715202004e-14
sea_P(y_x),2,incremental,WEOB1,88.9539266307108,66.31599889495646,1.4210854715202004e-14,0.0
sea_P(y_x),2,incremental,OOB,89.0813931637065,67.50698321213761,0.0,0.0
sea_P(y_x),2,incremental,ESOS_ELM,87.54162643112556,51.675839884918844,0.04220990514011181,0.10243220064740322
sea_P(y_x),2,incremental,improved_UOB,87.3328771880704,62.56117230599576,0.0,7.105427357601002e-15
sea_P(y_x),2,incremental,WEOB2,87.30157996253263,60.28309488580048,0.0,1.4210854715202004e-14
sea_P(y_x),2,incremental,UOB,85.12746657850657,60.12601746519365,1.4210854715202004e-14,0.0
sea_P(y_x),2,incremental,CSMOTE,87.46231358011173,60.99464766018574,1.4210854715202004e-14,7.105427357601002e-15
sea_P(y_x),2,incremental,RebalanceStream,90.91032302421948,51.31017005743174,0.0,0.0
