learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
55000.0,1.719559,2.3386139563388294E-8,55000.0,85.21,63.6567653508761,65.14258779165684,51.13974231912783,89.6797153024911,73.91074263538542,92.15545676179549,69.21043937892303,63.51493842804198,55000.0,112296.0,49.0,25.0,25.0,11.0,0.0,0.0,1.0
60000.0,1.82938,2.6533143872188197E-8,60000.0,87.6,70.10621935284786,69.87366375121476,57.96610169491526,91.22310305775765,78.88283378746594,91.40425531914894,78.50847457627118,65.17528862525661,60000.0,110768.0,51.0,26.0,26.0,12.0,0.0,0.0,1.0
65000.0,1.93119,2.9678360670804978E-8,65000.0,86.92999999999999,68.48174516697584,68.74701099952175,55.72493224932248,90.75083150520132,77.73044811722609,90.9761634506243,77.26964769647697,64.85480150827331,65000.0,119416.0,53.0,27.0,27.0,12.0,0.0,0.0,1.0
70000.0,2.035593,3.3122348953038454E-8,70000.0,87.05333333333334,68.8919245871052,69.01723037651564,56.55480984340046,90.81449247942484,78.07631519530368,91.16809116809117,77.36017897091723,64.90921932572607,70000.0,127512.0,57.0,29.0,29.0,12.0,0.0,0.0,1.0
75000.0,2.146854,3.717941269278526E-8,75000.0,87.04499999999999,69.22067143982656,69.09589694656488,57.116848725587545,90.73153282060456,78.48899958489,90.85828915317381,78.23568354849387,65.01806916190061,75000.0,140952.0,65.0,33.0,33.0,13.0,0.0,0.0,1.0
80000.0,2.25322,4.1453787233266564E-8,80000.0,86.984,68.9072436842165,68.86124401913875,56.42158832194989,90.72564555663227,78.18157435966206,90.777391205156,78.07687156823356,64.97196756551811,80000.0,155336.0,71.0,36.0,36.0,13.0,0.0,0.0,1.0
85000.0,2.349668,4.5625422675576474E-8,85000.0,86.98333333333333,68.92803717495784,69.0177721358299,56.61111111111112,90.72027755994392,78.207489257213,90.8952380952381,77.85555555555555,64.95205802181977,85000.0,167192.0,77.0,39.0,39.0,13.0,0.0,0.0,1.0
90000.0,2.44567,4.965358848787016E-8,90000.0,86.94,68.8018948697667,68.9259007477906,56.42101248927447,90.69440768713991,78.10718904162076,90.87756517481947,77.73858327771951,64.92614043136612,90000.0,162192.0,87.0,44.0,44.0,14.0,0.0,0.0,1.0
95000.0,2.537155,5.379383989713258E-8,95000.0,86.965,68.87219976847878,68.99012727488997,56.481095067189734,90.7098567457772,78.16217121795945,90.84906670473607,77.88164593940405,64.94819332439897,95000.0,174936.0,91.0,46.0,46.0,15.0,0.0,0.0,1.0
100000.0,2.62376,5.7691016155812474E-8,100000.0,87.01777777777778,68.99651033664414,69.09975669099758,56.619885646394906,90.74783820594848,78.24856653511058,90.85719722195795,78.02777158981213,64.97787485209294,100000.0,173944.0,95.0,48.0,48.0,15.0,0.0,0.0,1.0
