learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
55000.0,1.810355,3.0351433559424347E-8,55000.0,89.24,78.15964568287643,78.17444219066937,73.41897233201581,90.50811573747353,87.58079409048936,86.21848739495799,93.67901234567901,67.06293680950697,55000.0,137928.0,65.0,33.0,33.0,10.0,0.0,0.0,1.0
60000.0,1.935892,3.5161594657434353E-8,60000.0,89.23,78.05460356955626,77.82125205930807,72.90566037735849,90.61437908496733,87.366568914956,86.30478087649402,93.66197183098592,67.07584377171113,60000.0,148112.0,71.0,36.0,36.0,11.0,0.0,0.0,1.0
65000.0,2.053438,3.973027801348103E-8,65000.0,89.03333333333333,77.6361792185752,77.2318339100346,72.19405003380662,90.47315688886314,87.08081363386475,85.9958163602334,93.69612979550448,67.02461229946391,65000.0,150240.0,81.0,41.0,41.0,11.0,0.0,0.0,1.0
70000.0,2.149861,4.374038783419463E-8,70000.0,88.97500000000001,77.51288695145952,77.17391304347827,72.06385404789054,90.42511615788789,87.00724765776914,86.00693870807864,93.5267291613884,66.99508710895655,70000.0,160760.0,83.0,42.0,42.0,11.0,0.0,0.0,1.0
75000.0,2.253317,4.843331940679086E-8,75000.0,88.956,77.46905297309793,77.16105550500455,71.99797160243408,90.41419296601049,86.97457187337831,86.00964396591586,93.47936314775379,66.98675374909386,75000.0,175344.0,89.0,45.0,45.0,12.0,0.0,0.0,1.0
80000.0,2.367847,5.364328151982691E-8,80000.0,88.89666666666668,77.3505153733496,77.03867098642036,71.98014804845222,90.35191889934829,86.92443572129538,86.11893324498924,93.12810160652705,66.94158551519307,80000.0,175840.0,93.0,47.0,47.0,10.0,0.0,0.0,1.0
85000.0,2.481622,5.894016546921597E-8,85000.0,88.76857142857143,77.09296509066111,76.77949081457854,71.77222461582652,90.22989934136946,86.79321350579539,86.13866084563185,92.74789976305019,66.8742402963731,85000.0,179960.0,105.0,53.0,53.0,10.0,0.0,0.0,1.0
90000.0,2.586209,6.328893984150555E-8,90000.0,88.68,76.92123270750221,76.68263041351254,71.59525751207579,90.14194896803971,86.7089350710344,86.05037825255633,92.64835026972776,66.83912187526929,90000.0,160728.0,107.0,54.0,54.0,10.0,0.0,0.0,1.0
95000.0,2.680664,6.733410284337069E-8,95000.0,88.76444444444445,77.10462573202783,76.85405603369347,71.87673823562132,90.20079075897357,86.83470471825852,86.11820435957218,92.74153178708492,66.86922613330012,95000.0,165544.0,109.0,55.0,55.0,11.0,0.0,0.0,1.0
100000.0,2.784717,7.20584222757154E-8,100000.0,88.634,76.85550058615898,76.58233064117357,71.6062952785411,90.06798441077265,86.71606554311492,85.93916755602989,92.67086330935251,66.82253191577344,100000.0,175504.0,117.0,59.0,59.0,11.0,0.0,0.0,1.0
