drift,unbalance,type,alg,Time,Mem
sea_P(y_x),3,sudden,UOB,6.2761166,372296089.6
sea_P(y_x),3,sudden,RebalanceStream,28.334465,2597407539.2
sea_P(y_x),2,sudden,improved_OOB,9.989737400000001,522319872.0
sea_P(y_x),2,sudden,WEOB1,13.739492799999999,711949516.8
sea_P(y_x),2,sudden,OOB,10.4292493,627361792.0
sea_P(y_x),2,sudden,ESOS_ELM,333.3389503994,7192099225.6
sea_P(y_x),2,sudden,improved_UOB,5.3159283,308640153.6
sea_P(y_x),2,sudden,WEOB2,16.434269800000003,711949516.8
sea_P(y_x),2,sudden,UOB,5.1302144,331946393.6
sea_P(y_x),2,sudden,RebalanceStream,33.5286264,2837284864.0
sea_P(y_x),2,incremental,improved_OOB,11.3620837,555299560.7272727
sea_P(y_x),2,incremental,WEOB1,15.4747493,635149516.8
sea_P(y_x),2,incremental,OOB,10.520706,589547520.0
sea_P(y_x),2,incremental,ESOS_ELM,331.939524684,5093644846.545455
sea_P(y_x),2,incremental,improved_UOB,5.8266504,324674764.8
sea_P(y_x),2,incremental,WEOB2,16.8078427,635149516.8
sea_P(y_x),2,incremental,UOB,5.254020700000001,278236811.6363636
sea_P(y_x),2,incremental,RebalanceStream,30.2513652,2848650035.2
sea_P(y_x),4,incremental,improved_OOB,7.1721052,612333568.0
sea_P(y_x),4,incremental,WEOB1,11.6272978,613825740.8
sea_P(y_x),4,incremental,OOB,10.456787199999999,527950941.09090906
sea_P(y_x),4,incremental,ESOS_ELM,324.8774597619,7073011712.0
sea_P(y_x),4,incremental,improved_UOB,5.8258718,299219101.53846157
sea_P(y_x),4,incremental,WEOB2,17.3778386,613825740.8
sea_P(y_x),4,incremental,UOB,7.223563400000001,467513753.6
sea_P(y_x),4,incremental,RebalanceStream,27.2065741,2845020160.0
sea_P(y_x),4,sudden,improved_OOB,8.119211,603064320.0
sea_P(y_x),4,sudden,WEOB1,13.0856678,778944921.6
sea_P(y_x),4,sudden,OOB,10.1352164,605442457.6
sea_P(y_x),4,sudden,ESOS_ELM,324.914850301,7154448793.6
sea_P(y_x),4,sudden,improved_UOB,6.2783782,409284198.4
sea_P(y_x),4,sudden,WEOB2,16.645806699999998,778944921.6
sea_P(y_x),4,sudden,UOB,6.434677499999999,314089099.6363636
sea_P(y_x),4,sudden,RebalanceStream,27.1800263,2840503500.8
sea_P(x_y),1,sudden,improved_OOB,7.2985041,638058496.0
sea_P(x_y),1,sudden,WEOB1,9.0429225,537620070.4
sea_P(x_y),1,sudden,OOB,11.116309599999997,573227008.0
