learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
55000.0,2.039262,3.4679064719627303E-8,55000.0,89.94,79.87367550379031,79.13728743260057,74.95019920318724,90.84622383985442,88.834628190899,83.45035105315948,99.60179193628672,67.64838190774525,55000.0,123784.0,57.0,29.0,29.0,15.0,0.0,0.0,1.0
60000.0,2.186396,4.016327844104833E-8,60000.0,90.45,80.84448732426571,80.2645174622856,76.32035705430201,91.35042115750385,89.34032816162518,84.52899765336909,99.20674268715915,67.77457863028886,60000.0,144080.0,71.0,36.0,36.0,16.0,0.0,0.0,1.0
65000.0,2.316038,4.5202904316700167E-8,65000.0,90.92666666666666,81.72165123460105,81.05248503410832,77.17974513749162,91.89832728138579,89.69017498674343,85.43442169341449,99.24559932942162,67.94851378485701,65000.0,150264.0,71.0,36.0,36.0,16.0,0.0,0.0,1.0
70000.0,2.444917,5.0412649593005576E-8,70000.0,91.255,82.37233392133206,81.76795580110496,78.08545295075805,92.1937067618835,90.05967604433079,85.93776002662673,99.26083688298672,68.0438455904745,70000.0,156256.0,75.0,38.0,38.0,16.0,0.0,0.0,1.0
75000.0,2.549136,5.479530019064744E-8,75000.0,91.408,82.6803223562915,82.09701616936155,78.52214778522148,92.32528226382735,90.24168635289843,86.14481930924123,99.3001399720056,68.08908856807506,75000.0,162552.0,75.0,38.0,38.0,16.0,0.0,0.0,1.0
80000.0,2.651377,5.9148094138751426E-8,80000.0,91.56,82.98150492419042,82.36523192645214,78.92107892107892,92.46428571428571,90.4090909090909,86.36237282481792,99.3423790893199,68.13676539030486,80000.0,164568.0,75.0,38.0,38.0,16.0,0.0,0.0,1.0
85000.0,2.774899,6.458099447811643E-8,85000.0,91.58571428571427,83.02697390357264,82.44306665076904,78.95075405617897,92.49700644569565,90.42245276269146,86.40993907083015,99.35677530017153,68.14813173723138,85000.0,170016.0,77.0,39.0,39.0,16.0,0.0,0.0,1.0
90000.0,2.898076,7.020470227425298E-8,90000.0,91.725,83.30274755685085,82.75143303804064,79.31767058235441,92.62444850483533,90.57570753373953,86.61804542613044,99.38144329896907,68.19081476362845,90000.0,176480.0,83.0,42.0,42.0,18.0,0.0,0.0,1.0
95000.0,3.008421,7.553555820137263E-8,95000.0,91.85777777777778,83.56474323711114,83.00556586270874,79.66139328337498,92.74742676167855,90.7193515704154,86.82182033797807,99.40053285968028,68.23165562949106,95000.0,186744.0,85.0,43.0,43.0,18.0,0.0,0.0,1.0
100000.0,3.121588,8.118636870342825E-8,100000.0,91.95400000000001,83.76888663325411,83.21091728570237,79.99204257223853,92.81440334363334,90.85951877854271,86.91957714438647,99.43803461308931,68.25643042187963,100000.0,193016.0,89.0,45.0,45.0,18.0,0.0,0.0,1.0
