instances,drift,unbalance,type,alg,Fscore_min
25000,sea_P(y),1,sudden,UOB,98.43215280541186
30000,sea_P(y),1,sudden,UOB,98.56636757937953
35000,sea_P(y),1,sudden,UOB,98.67106798326742
40000,sea_P(y),1,sudden,UOB,98.77441211638101
45000,sea_P(y),1,sudden,UOB,98.84435374753231
50000,sea_P(y),1,sudden,UOB,98.90048490411672
55000,sea_P(y),1,sudden,UOB,96.58536585365854
60000,sea_P(y),1,sudden,UOB,97.19350073855243
65000,sea_P(y),1,sudden,UOB,97.32054250744294
70000,sea_P(y),1,sudden,UOB,97.68483943241223
75000,sea_P(y),1,sudden,UOB,97.94105773112638
80000,sea_P(y),1,sudden,UOB,98.02331474911304
85000,sea_P(y),1,sudden,UOB,98.20830298616168
90000,sea_P(y),1,sudden,UOB,98.26823410441158
95000,sea_P(y),1,sudden,UOB,98.37053571428574
100000,sea_P(y),1,sudden,UOB,98.48164906988437
5000,sea_P(y),1,sudden,CSMOTE,96.5909090909091
10000,sea_P(y),1,sudden,CSMOTE,97.35648056815943
15000,sea_P(y),1,sudden,CSMOTE,97.74634855594478
20000,sea_P(y),1,sudden,CSMOTE,97.97317436661697
25000,sea_P(y),1,sudden,CSMOTE,98.1130573248408
30000,sea_P(y),1,sudden,CSMOTE,98.1521955096364
35000,sea_P(y),1,sudden,CSMOTE,98.24071965383743
40000,sea_P(y),1,sudden,CSMOTE,98.35011464460173
45000,sea_P(y),1,sudden,CSMOTE,98.43756935505348
50000,sea_P(y),1,sudden,CSMOTE,98.49864238939467
55000,sea_P(y),1,sudden,CSMOTE,96.38318670576736
60000,sea_P(y),1,sudden,CSMOTE,96.1331375428292
65000,sea_P(y),1,sudden,CSMOTE,95.78569095066972
70000,sea_P(y),1,sudden,CSMOTE,96.21621621621624
75000,sea_P(y),1,sudden,CSMOTE,96.43781094527365
80000,sea_P(y),1,sudden,CSMOTE,96.3098404255319
85000,sea_P(y),1,sudden,CSMOTE,96.33657698912425
90000,sea_P(y),1,sudden,CSMOTE,96.46006707241337
95000,sea_P(y),1,sudden,CSMOTE,96.48296263832584
100000,sea_P(y),1,sudden,CSMOTE,96.60347551342811
5000,sea_P(y),1,sudden,RebalanceStream,96.61116552399608
10000,sea_P(y),1,sudden,RebalanceStream,97.43691241959425
15000,sea_P(y),1,sudden,RebalanceStream,97.7995758218452
20000,sea_P(y),1,sudden,RebalanceStream,98.01773084968623
25000,sea_P(y),1,sudden,RebalanceStream,98.16063519929777
30000,sea_P(y),1,sudden,RebalanceStream,98.26378514756165
35000,sea_P(y),1,sudden,RebalanceStream,98.3708522354418
40000,sea_P(y),1,sudden,RebalanceStream,98.46169213864746
45000,sea_P(y),1,sudden,RebalanceStream,98.52159800804783
50000,sea_P(y),1,sudden,RebalanceStream,98.5743136509968
55000,sea_P(y),1,sudden,RebalanceStream,75.85365853658537
60000,sea_P(y),1,sudden,RebalanceStream,84.88636363636364
65000,sea_P(y),1,sudden,RebalanceStream,86.92762186115213
70000,sea_P(y),1,sudden,RebalanceStream,89.46796959826278
75000,sea_P(y),1,sudden,RebalanceStream,90.65155807365441
80000,sea_P(y),1,sudden,RebalanceStream,91.19565217391303
85000,sea_P(y),1,sudden,RebalanceStream,91.87509709491998
90000,sea_P(y),1,sudden,RebalanceStream,92.37174321783506
95000,sea_P(y),1,sudden,RebalanceStream,92.72275470358537
100000,sea_P(y),1,sudden,RebalanceStream,93.03017424564385
5000,sea_P(y),1,incremental,improved_OOB,96.77166894932499
10000,sea_P(y),1,incremental,improved_OOB,97.66433428599588
15000,sea_P(y),1,incremental,improved_OOB,98.09278690688312
20000,sea_P(y),1,incremental,improved_OOB,98.37107667858561
25000,sea_P(y),1,incremental,improved_OOB,98.53479853479853
30000,sea_P(y),1,incremental,improved_OOB,98.65155882450385
35000,sea_P(y),1,incremental,improved_OOB,98.75263427692657
40000,sea_P(y),1,incremental,improved_OOB,98.85263893045996
45000,sea_P(y),1,incremental,improved_OOB,98.91522699879468
50000,sea_P(y),1,incremental,improved_OOB,99.27835051546391
55000,sea_P(y),1,incremental,improved_OOB,99.12033195020749
60000,sea_P(y),1,incremental,improved_OOB,98.22580645161291
65000,sea_P(y),1,incremental,improved_OOB,97.84425868895732
70000,sea_P(y),1,incremental,improved_OOB,98.07868252516009
75000,sea_P(y),1,incremental,improved_OOB,98.2456140350877
80000,sea_P(y),1,incremental,improved_OOB,98.26455842653297
85000,sea_P(y),1,incremental,improved_OOB,98.32274873799055
90000,sea_P(y),1,incremental,improved_OOB,98.35974423130388
95000,sea_P(y),1,incremental,improved_OOB,98.46041944478121
100000,sea_P(y),1,incremental,improved_OOB,98.47551086603958
5000,sea_P(y),1,incremental,WEOB1,96.69728356458862
10000,sea_P(y),1,incremental,WEOB1,97.55041810132809
15000,sea_P(y),1,incremental,WEOB1,98.00922874093608
20000,sea_P(y),1,incremental,WEOB1,98.28860558559451
25000,sea_P(y),1,incremental,WEOB1,98.45297275800358
30000,sea_P(y),1,incremental,WEOB1,98.59015091342336
35000,sea_P(y),1,incremental,WEOB1,98.6913229018492
40000,sea_P(y),1,incremental,WEOB1,98.79650163207337
45000,sea_P(y),1,incremental,WEOB1,98.85390652871924
50000,sea_P(y),1,incremental,WEOB1,99.22720247295207
55000,sea_P(y),1,incremental,WEOB1,99.037504148689
60000,sea_P(y),1,incremental,WEOB1,97.67441860465115
65000,sea_P(y),1,incremental,WEOB1,97.37302977232925
70000,sea_P(y),1,incremental,WEOB1,97.57281553398059
75000,sea_P(y),1,incremental,WEOB1,97.62073027090695
80000,sea_P(y),1,incremental,WEOB1,97.64503159103965
85000,sea_P(y),1,incremental,WEOB1,97.60981912144702
90000,sea_P(y),1,incremental,WEOB1,97.66992968426858
95000,sea_P(y),1,incremental,WEOB1,97.76334776334774
100000,sea_P(y),1,incremental,WEOB1,97.82212208990451
5000,sea_P(y),1,incremental,OOB,96.63668361360969
