instances,drift,unbalance,type,alg,Recall_min
40000,sea_P(y),1,incremental,improved_UOB,99.57778336265393
45000,sea_P(y),1,incremental,improved_UOB,99.59526914601791
50000,sea_P(y),1,incremental,improved_UOB,100.0
55000,sea_P(y),1,incremental,improved_UOB,99.76580796252928
60000,sea_P(y),1,incremental,improved_UOB,100.0
65000,sea_P(y),1,incremental,improved_UOB,100.0
70000,sea_P(y),1,incremental,improved_UOB,100.0
75000,sea_P(y),1,incremental,improved_UOB,100.0
80000,sea_P(y),1,incremental,improved_UOB,99.96079968639751
85000,sea_P(y),1,incremental,improved_UOB,99.96693121693123
90000,sea_P(y),1,incremental,improved_UOB,99.97179125528916
95000,sea_P(y),1,incremental,improved_UOB,99.97542393708527
100000,sea_P(y),1,incremental,improved_UOB,99.97808459346922
5000,sea_P(y),1,incremental,WEOB2,97.66244057052299
10000,sea_P(y),1,incremental,WEOB2,98.52530888800321
15000,sea_P(y),1,incremental,WEOB2,98.89303814350491
20000,sea_P(y),1,incremental,WEOB2,99.13758523866828
25000,sea_P(y),1,incremental,WEOB2,99.28479588556733
30000,sea_P(y),1,incremental,WEOB2,99.39847613955352
35000,sea_P(y),1,incremental,WEOB2,99.46023542922765
40000,sea_P(y),1,incremental,WEOB2,99.52249308871578
45000,sea_P(y),1,incremental,WEOB2,99.56379007959707
50000,sea_P(y),1,incremental,WEOB2,99.94807892004154
55000,sea_P(y),1,incremental,WEOB2,99.86617597858817
60000,sea_P(y),1,incremental,WEOB2,100.0
65000,sea_P(y),1,incremental,WEOB2,100.0
70000,sea_P(y),1,incremental,WEOB2,99.93781094527364
75000,sea_P(y),1,incremental,WEOB2,99.95173745173746
80000,sea_P(y),1,incremental,WEOB2,99.96079968639751
85000,sea_P(y),1,incremental,WEOB2,99.93386243386244
90000,sea_P(y),1,incremental,WEOB2,99.91537376586743
95000,sea_P(y),1,incremental,WEOB2,99.92627181125586
100000,sea_P(y),1,incremental,WEOB2,99.93425378040762
5000,sea_P(y),1,incremental,UOB,97.90015847860538
10000,sea_P(y),1,incremental,UOB,98.72459147070548
15000,sea_P(y),1,incremental,UOB,99.07975460122701
20000,sea_P(y),1,incremental,UOB,99.27797833935018
25000,sea_P(y),1,incremental,UOB,99.38926390228222
30000,sea_P(y),1,incremental,UOB,99.471995722497
35000,sea_P(y),1,incremental,UOB,99.52339936836061
40000,sea_P(y),1,incremental,UOB,99.56773058557427
45000,sea_P(y),1,incremental,UOB,99.60426316499526
50000,sea_P(y),1,incremental,UOB,99.94807892004154
55000,sea_P(y),1,incremental,UOB,99.79926396788223
60000,sea_P(y),1,incremental,UOB,99.67159277504105
65000,sea_P(y),1,incremental,UOB,99.6402877697842
70000,sea_P(y),1,incremental,UOB,99.6268656716418
75000,sea_P(y),1,incremental,UOB,99.66216216216218
80000,sea_P(y),1,incremental,UOB,99.52959623676988
85000,sea_P(y),1,incremental,UOB,99.57010582010582
90000,sea_P(y),1,incremental,UOB,99.52045133991535
95000,sea_P(y),1,incremental,UOB,99.50847874170559
100000,sea_P(y),1,incremental,UOB,99.5397764628534
5000,sea_P(y),1,incremental,CSMOTE,97.66244057052295
10000,sea_P(y),1,incremental,CSMOTE,98.34595456357114
15000,sea_P(y),1,incremental,CSMOTE,98.62630034675917
20000,sea_P(y),1,incremental,CSMOTE,98.8868832731649
25000,sea_P(y),1,incremental,CSMOTE,99.02764384442303
30000,sea_P(y),1,incremental,CSMOTE,99.0509290201845
35000,sea_P(y),1,incremental,CSMOTE,99.07550961814526
40000,sea_P(y),1,incremental,CSMOTE,99.13043478260872
45000,sea_P(y),1,incremental,CSMOTE,99.16805324459234
50000,sea_P(y),1,incremental,CSMOTE,99.48078920041534
55000,sea_P(y),1,incremental,CSMOTE,99.4981599197056
60000,sea_P(y),1,incremental,CSMOTE,99.50738916256158
65000,sea_P(y),1,incremental,CSMOTE,99.10071942446042
70000,sea_P(y),1,incremental,CSMOTE,99.25373134328358
75000,sea_P(y),1,incremental,CSMOTE,99.3725868725869
80000,sea_P(y),1,incremental,CSMOTE,99.0983927871423
85000,sea_P(y),1,incremental,CSMOTE,99.07407407407409
90000,sea_P(y),1,incremental,CSMOTE,99.15373765867422
95000,sea_P(y),1,incremental,CSMOTE,99.21356598672891
100000,sea_P(y),1,incremental,CSMOTE,99.27679158448386
5000,sea_P(y),1,incremental,RebalanceStream,97.70206022187004
10000,sea_P(y),1,incremental,RebalanceStream,98.10681546432842
15000,sea_P(y),1,incremental,RebalanceStream,98.39957321952521
20000,sea_P(y),1,incremental,RebalanceStream,98.676293622142
25000,sea_P(y),1,incremental,RebalanceStream,98.85085181613627
30000,sea_P(y),1,incremental,RebalanceStream,98.91725705119634
35000,sea_P(y),1,incremental,RebalanceStream,98.97789262130347
40000,sea_P(y),1,incremental,RebalanceStream,99.03995978889168
45000,sea_P(y),1,incremental,RebalanceStream,99.07361604532984
50000,sea_P(y),1,incremental,RebalanceStream,99.53271028037385
55000,sea_P(y),1,incremental,RebalanceStream,99.46470391435263
60000,sea_P(y),1,incremental,RebalanceStream,99.50738916256158
65000,sea_P(y),1,incremental,RebalanceStream,99.10071942446042
70000,sea_P(y),1,incremental,RebalanceStream,99.19154228855722
75000,sea_P(y),1,incremental,RebalanceStream,99.0830115830116
80000,sea_P(y),1,incremental,RebalanceStream,98.94159153273225
85000,sea_P(y),1,incremental,RebalanceStream,98.97486772486774
90000,sea_P(y),1,incremental,RebalanceStream,98.95627644569818
95000,sea_P(y),1,incremental,RebalanceStream,98.8449250430081
100000,sea_P(y),1,incremental,RebalanceStream,98.88231426692964
5000,sea_P(y),3,incremental,improved_OOB,73.09825673534074
10000,sea_P(y),3,incremental,improved_OOB,73.15663611000399
15000,sea_P(y),3,incremental,improved_OOB,73.56628434249134
20000,sea_P(y),3,incremental,improved_OOB,73.8367428800642
25000,sea_P(y),3,incremental,improved_OOB,74.09401366010447
30000,sea_P(y),3,incremental,improved_OOB,74.08273741896677
35000,sea_P(y),3,incremental,improved_OOB,74.19614147909967
40000,sea_P(y),3,incremental,improved_OOB,74.12935323383086
45000,sea_P(y),3,incremental,improved_OOB,74.13452914798208
50000,sea_P(y),3,incremental,improved_OOB,75.5120213713268
55000,sea_P(y),3,incremental,improved_OOB,75.2656288608846
60000,sea_P(y),3,incremental,improved_OOB,74.14350355526825
65000,sea_P(y),3,incremental,improved_OOB,74.54424925422606
70000,sea_P(y),3,incremental,improved_OOB,73.6958934517203
75000,sea_P(y),3,incremental,improved_OOB,74.37573319926263
80000,sea_P(y),3,incremental,improved_OOB,74.01364183496052
85000,sea_P(y),3,incremental,improved_OOB,74.29208472686732
90000,sea_P(y),3,incremental,improved_OOB,74.31306845380564
95000,sea_P(y),3,incremental,improved_OOB,74.3714381495139
100000,sea_P(y),3,incremental,improved_OOB,74.2363284160334
5000,sea_P(y),3,incremental,WEOB1,74.76228209191757
10000,sea_P(y),3,incremental,WEOB1,74.75089677162215
15000,sea_P(y),3,incremental,WEOB1,74.79327820752201
20000,sea_P(y),3,incremental,WEOB1,74.72924187725631
25000,sea_P(y),3,incremental,WEOB1,74.80916030534353
30000,sea_P(y),3,incremental,WEOB1,74.67753792688632
35000,sea_P(y),3,incremental,WEOB1,74.72439136426273
40000,sea_P(y),3,incremental,WEOB1,74.61178953716266
45000,sea_P(y),3,incremental,WEOB1,74.56502242152466
50000,sea_P(y),3,incremental,WEOB1,75.64559216384683
55000,sea_P(y),3,incremental,WEOB1,75.41388682975044
60000,sea_P(y),3,incremental,WEOB1,74.4667097608274
65000,sea_P(y),3,incremental,WEOB1,74.6768312893603
70000,sea_P(y),3,incremental,WEOB1,73.80688124306324
75000,sea_P(y),3,incremental,WEOB1,74.50980392156863
80000,sea_P(y),3,incremental,WEOB1,74.17413401096698
85000,sea_P(y),3,incremental,WEOB1,74.4370122630992
90000,sea_P(y),3,incremental,WEOB1,74.47582575394925
95000,sea_P(y),3,incremental,WEOB1,74.52229299363057
100000,sea_P(y),3,incremental,WEOB1,74.4002384145433
5000,sea_P(y),3,incremental,OOB,75.83201267828845
10000,sea_P(y),3,incremental,OOB,75.52809884416102
15000,sea_P(y),3,incremental,OOB,75.36676447052547
20000,sea_P(y),3,incremental,OOB,75.24067388688329
25000,sea_P(y),3,incremental,OOB,75.23503415026116
30000,sea_P(y),3,incremental,OOB,75.06516072980016
35000,sea_P(y),3,incremental,OOB,75.0574184657786
40000,sea_P(y),3,incremental,OOB,74.91331222674508
45000,sea_P(y),3,incremental,OOB,74.82959641255606
50000,sea_P(y),3,incremental,OOB,76.00178094390027
55000,sea_P(y),3,incremental,OOB,75.75982209043737
60000,sea_P(y),3,incremental,OOB,74.85455720749839
65000,sea_P(y),3,incremental,OOB,75.10772290354657
70000,sea_P(y),3,incremental,OOB,74.1842397336293
75000,sea_P(y),3,incremental,OOB,74.81146304675715
80000,sea_P(y),3,incremental,OOB,74.45499531897822
85000,sea_P(y),3,incremental,OOB,74.69342251950947
90000,sea_P(y),3,incremental,OOB,74.72474868358064
95000,sea_P(y),3,incremental,OOB,74.76533690915186
100000,sea_P(y),3,incremental,OOB,74.61630159439724
5000,sea_P(y),3,incremental,ESOS_ELM,0.0
10000,sea_P(y),3,incremental,ESOS_ELM,0.0
15000,sea_P(y),3,incremental,ESOS_ELM,25.07468658308882
20000,sea_P(y),3,incremental,ESOS_ELM,37.58724428399518
25000,sea_P(y),3,incremental,ESOS_ELM,45.31378063479309
30000,sea_P(y),3,incremental,ESOS_ELM,50.30608835126645
35000,sea_P(y),3,incremental,ESOS_ELM,53.926274689940286
40000,sea_P(y),3,incremental,ESOS_ELM,56.557113422785065
45000,sea_P(y),3,incremental,ESOS_ELM,58.58161434977578
50000,sea_P(y),3,incremental,ESOS_ELM,77.58682101513804
